time,symbol,field,value
2023-01-20 14:30:00+00:00,ABBV,Close,149.0
2023-01-20 14:31:00+00:00,ABBV,Close,148.8699951172
2023-01-20 14:32:00+00:00,ABBV,Close,148.7899932861
2023-01-20 14:33:00+00:00,ABBV,Close,148.8600006104
2023-01-20 14:34:00+00:00,ABBV,Close,148.8000030518
2023-01-20 14:35:00+00:00,ABBV,Close,148.7100982666
2023-01-20 14:36:00+00:00,ABBV,Close,148.7850036621
2023-01-20 14:37:00+00:00,ABBV,Close,148.8150024414
2023-01-20 14:38:00+00:00,ABBV,Close,148.8699951172
2023-01-20 14:39:00+00:00,ABBV,Close,148.6499938965
2023-01-20 14:40:00+00:00,ABBV,Close,148.75
2023-01-20 14:41:00+00:00,ABBV,Close,148.7100067139
2023-01-20 14:42:00+00:00,ABBV,Close,148.7299957275
2023-01-20 14:43:00+00:00,ABBV,Close,148.7664031982
2023-01-20 14:44:00+00:00,ABBV,Close,148.6600036621
2023-01-20 14:45:00+00:00,ABBV,Close,148.7850036621
2023-01-20 14:46:00+00:00,ABBV,Close,148.6399993896
2023-01-20 14:47:00+00:00,ABBV,Close,148.5399932861
2023-01-20 14:48:00+00:00,ABBV,Close,148.4499969482
2023-01-20 14:49:00+00:00,ABBV,Close,148.2299957275
2023-01-20 14:50:00+00:00,ABBV,Close,148.2899932861
2023-01-20 14:51:00+00:00,ABBV,Close,148.1100006104
2023-01-20 14:52:00+00:00,ABBV,Close,147.9400024414
2023-01-20 14:53:00+00:00,ABBV,Close,147.7700042725
2023-01-20 14:54:00+00:00,ABBV,Close,147.8600006104
2023-01-20 14:55:00+00:00,ABBV,Close,148.0997009277
2023-01-20 14:56:00+00:00,ABBV,Close,148.0099945068
2023-01-20 14:57:00+00:00,ABBV,Close,147.9499969482
2023-01-20 14:58:00+00:00,ABBV,Close,147.7599945068
2023-01-20 14:59:00+00:00,ABBV,Close,147.7599945068
2023-01-20 15:00:00+00:00,ABBV,Close,147.6999969482
2023-01-20 15:01:00+00:00,ABBV,Close,147.8177032471
2023-01-20 15:02:00+00:00,ABBV,Close,147.9100036621
2023-01-20 15:03:00+00:00,ABBV,Close,147.8000030518
2023-01-20 15:04:00+00:00,ABBV,Close,147.6750030518
2023-01-20 15:05:00+00:00,ABBV,Close,147.7799987793
2023-01-20 15:06:00+00:00,ABBV,Close,147.9400024414
2023-01-20 15:07:00+00:00,ABBV,Close,147.8798980713
2023-01-20 15:08:00+00:00,ABBV,Close,147.8099975586
2023-01-20 15:09:00+00:00,ABBV,Close,147.8099975586
2023-01-20 15:10:00+00:00,ABBV,Close,147.7350006104
2023-01-20 15:11:00+00:00,ABBV,Close,147.7749938965
2023-01-20 15:12:00+00:00,ABBV,Close,147.7799987793
2023-01-20 15:13:00+00:00,ABBV,Close,147.8450012207
2023-01-20 15:14:00+00:00,ABBV,Close,147.4900054932
2023-01-20 15:15:00+00:00,ABBV,Close,147.5099945068
2023-01-20 15:16:00+00:00,ABBV,Close,147.424697876
2023-01-20 15:17:00+00:00,ABBV,Close,147.5200042725
2023-01-20 15:18:00+00:00,ABBV,Close,147.7649993896
2023-01-20 15:19:00+00:00,ABBV,Close,147.7799987793
2023-01-20 15:20:00+00:00,ABBV,Close,147.8200073242
2023-01-20 15:21:00+00:00,ABBV,Close,147.8114013672
2023-01-20 15:22:00+00:00,ABBV,Close,147.9349975586
2023-01-20 15:23:00+00:00,ABBV,Close,147.8999938965
2023-01-20 15:24:00+00:00,ABBV,Close,147.8300018311
2023-01-20 15:25:00+00:00,ABBV,Close,147.8800048828
2023-01-20 15:26:00+00:00,ABBV,Close,148.0099945068
2023-01-20 15:27:00+00:00,ABBV,Close,148.0299987793
2023-01-20 15:28:00+00:00,ABBV,Close,148.1799926758
2023-01-20 15:29:00+00:00,ABBV,Close,148.1100006104
2023-01-20 15:30:00+00:00,ABBV,Close,148.1504974365
2023-01-20 15:31:00+00:00,ABBV,Close,148.0200042725
2023-01-20 15:32:00+00:00,ABBV,Close,148.0
2023-01-20 15:33:00+00:00,ABBV,Close,147.9799957275
2023-01-20 15:34:00+00:00,ABBV,Close,147.8849945068
2023-01-20 15:35:00+00:00,ABBV,Close,147.9450073242
2023-01-20 15:36:00+00:00,ABBV,Close,147.9349975586
2023-01-20 15:37:00+00:00,ABBV,Close,148.1100006104
2023-01-20 15:38:00+00:00,ABBV,Close,147.9400024414
2023-01-20 15:39:00+00:00,ABBV,Close,148.1100006104
2023-01-20 15:40:00+00:00,ABBV,Close,148.0800018311
2023-01-20 15:41:00+00:00,ABBV,Close,147.9799957275
2023-01-20 15:42:00+00:00,ABBV,Close,148.0099945068
2023-01-20 15:43:00+00:00,ABBV,Close,147.8500061035
2023-01-20 15:44:00+00:00,ABBV,Close,147.8399963379
2023-01-20 15:45:00+00:00,ABBV,Close,147.7899932861
2023-01-20 15:46:00+00:00,ABBV,Close,147.6999969482
2023-01-20 15:47:00+00:00,ABBV,Close,147.6399993896
2023-01-20 15:48:00+00:00,ABBV,Close,147.6024932861
2023-01-20 15:49:00+00:00,ABBV,Close,147.6199951172
2023-01-20 15:50:00+00:00,ABBV,Close,147.6900024414
2023-01-20 15:51:00+00:00,ABBV,Close,147.6750030518
2023-01-20 15:52:00+00:00,ABBV,Close,147.7599945068
2023-01-20 15:53:00+00:00,ABBV,Close,147.75
2023-01-20 15:54:00+00:00,ABBV,Close,147.8849945068
2023-01-20 15:55:00+00:00,ABBV,Close,147.9149932861
2023-01-20 15:56:00+00:00,ABBV,Close,147.7799987793
2023-01-20 15:57:00+00:00,ABBV,Close,147.7299957275
2023-01-20 15:58:00+00:00,ABBV,Close,147.6750030518
2023-01-20 15:59:00+00:00,ABBV,Close,147.6600036621
2023-01-20 16:00:00+00:00,ABBV,Close,147.6900024414
2023-01-20 16:01:00+00:00,ABBV,Close,147.6699981689
2023-01-20 16:02:00+00:00,ABBV,Close,147.625
2023-01-20 16:03:00+00:00,ABBV,Close,147.6100006104
2023-01-20 16:04:00+00:00,ABBV,Close,147.6600036621
2023-01-20 16:05:00+00:00,ABBV,Close,147.5549926758
2023-01-20 16:06:00+00:00,ABBV,Close,147.5099945068
2023-01-20 16:07:00+00:00,ABBV,Close,147.5099945068
2023-01-20 16:08:00+00:00,ABBV,Close,147.4600067139
2023-01-20 16:09:00+00:00,ABBV,Close,147.4499969482
2023-01-20 16:10:00+00:00,ABBV,Close,147.4700012207
2023-01-20 16:11:00+00:00,ABBV,Close,147.4700012207
2023-01-20 16:12:00+00:00,ABBV,Close,147.4839935303
2023-01-20 16:13:00+00:00,ABBV,Close,147.4900054932
2023-01-20 16:14:00+00:00,ABBV,Close,147.5
2023-01-20 16:15:00+00:00,ABBV,Close,147.6186981201
2023-01-20 16:16:00+00:00,ABBV,Close,147.5950012207
2023-01-20 16:17:00+00:00,ABBV,Close,147.3899993896
2023-01-20 16:18:00+00:00,ABBV,Close,147.25
2023-01-20 16:19:00+00:00,ABBV,Close,147.4799957275
2023-01-20 16:20:00+00:00,ABBV,Close,147.4600067139
2023-01-20 16:21:00+00:00,ABBV,Close,147.3399963379
2023-01-20 16:22:00+00:00,ABBV,Close,147.4499969482
2023-01-20 16:23:00+00:00,ABBV,Close,147.5
2023-01-20 16:24:00+00:00,ABBV,Close,147.5650024414
2023-01-20 16:25:00+00:00,ABBV,Close,147.4494018555
2023-01-20 16:26:00+00:00,ABBV,Close,147.5200042725
2023-01-20 16:27:00+00:00,ABBV,Close,147.4541931152
2023-01-20 16:28:00+00:00,ABBV,Close,147.4649963379
2023-01-20 16:29:00+00:00,ABBV,Close,147.5500030518
2023-01-20 16:30:00+00:00,ABBV,Close,147.5274963379
2023-01-20 16:31:00+00:00,ABBV,Close,147.6300048828
2023-01-20 16:32:00+00:00,ABBV,Close,147.6950073242
2023-01-20 16:33:00+00:00,ABBV,Close,147.7400054932
2023-01-20 16:34:00+00:00,ABBV,Close,147.6999969482
2023-01-20 16:35:00+00:00,ABBV,Close,147.6399993896
2023-01-20 16:36:00+00:00,ABBV,Close,147.6600036621
2023-01-20 16:37:00+00:00,ABBV,Close,147.6468048096
2023-01-20 16:38:00+00:00,ABBV,Close,147.6549987793
2023-01-20 16:39:00+00:00,ABBV,Close,147.6399993896
2023-01-20 16:40:00+00:00,ABBV,Close,147.5599975586
2023-01-20 16:41:00+00:00,ABBV,Close,147.625
2023-01-20 16:42:00+00:00,ABBV,Close,147.6000061035
2023-01-20 16:43:00+00:00,ABBV,Close,147.6199951172
2023-01-20 16:44:00+00:00,ABBV,Close,147.6199951172
2023-01-20 16:45:00+00:00,ABBV,Close,147.5500030518
2023-01-20 16:46:00+00:00,ABBV,Close,147.5899963379
2023-01-20 16:47:00+00:00,ABBV,Close,147.6049957275
2023-01-20 16:48:00+00:00,ABBV,Close,147.5099945068
2023-01-20 16:49:00+00:00,ABBV,Close,147.5249938965
2023-01-20 16:50:00+00:00,ABBV,Close,147.5
2023-01-20 16:51:00+00:00,ABBV,Close,147.4149932861
2023-01-20 16:52:00+00:00,ABBV,Close,147.3930053711
2023-01-20 16:53:00+00:00,ABBV,Close,147.4595947266
2023-01-20 16:54:00+00:00,ABBV,Close,147.5050048828
2023-01-20 16:55:00+00:00,ABBV,Close,147.4644012451
2023-01-20 16:56:00+00:00,ABBV,Close,147.4700012207
2023-01-20 16:57:00+00:00,ABBV,Close,147.5299987793
