time,symbol,field,value
2023-01-20 14:30:00+00:00,ABT,Close,112.1100006104
2023-01-20 14:31:00+00:00,ABT,Close,111.8199996948
2023-01-20 14:32:00+00:00,ABT,Close,112.1200027466
2023-01-20 14:33:00+00:00,ABT,Close,112.2750015259
2023-01-20 14:34:00+00:00,ABT,Close,112.3399963379
2023-01-20 14:35:00+00:00,ABT,Close,112.3300018311
2023-01-20 14:36:00+00:00,ABT,Close,112.2799987793
2023-01-20 14:37:00+00:00,ABT,Close,112.3199996948
2023-01-20 14:38:00+00:00,ABT,Close,112.2699966431
2023-01-20 14:39:00+00:00,ABT,Close,112.2699966431
2023-01-20 14:40:00+00:00,ABT,Close,112.3150024414
2023-01-20 14:41:00+00:00,ABT,Close,112.3000030518
2023-01-20 14:42:00+00:00,ABT,Close,112.3899993896
2023-01-20 14:43:00+00:00,ABT,Close,112.4150009155
2023-01-20 14:44:00+00:00,ABT,Close,112.3399963379
2023-01-20 14:45:00+00:00,ABT,Close,112.3000030518
2023-01-20 14:46:00+00:00,ABT,Close,112.1875
2023-01-20 14:47:00+00:00,ABT,Close,112.2399978638
2023-01-20 14:48:00+00:00,ABT,Close,112.2300033569
2023-01-20 14:49:00+00:00,ABT,Close,112.0800018311
2023-01-20 14:50:00+00:00,ABT,Close,112.1100006104
2023-01-20 14:51:00+00:00,ABT,Close,112.1100006104
2023-01-20 14:52:00+00:00,ABT,Close,111.9400024414
2023-01-20 14:53:00+00:00,ABT,Close,111.8099975586
2023-01-20 14:54:00+00:00,ABT,Close,111.7600021362
2023-01-20 14:55:00+00:00,ABT,Close,111.75
2023-01-20 14:56:00+00:00,ABT,Close,111.8450012207
2023-01-20 14:57:00+00:00,ABT,Close,111.9499969482
2023-01-20 14:58:00+00:00,ABT,Close,111.8399963379
2023-01-20 14:59:00+00:00,ABT,Close,111.7900009155
2023-01-20 15:00:00+00:00,ABT,Close,111.7799987793
2023-01-20 15:01:00+00:00,ABT,Close,111.8300018311
2023-01-20 15:02:00+00:00,ABT,Close,111.8499984741
2023-01-20 15:03:00+00:00,ABT,Close,111.8199996948
2023-01-20 15:04:00+00:00,ABT,Close,111.8000030518
2023-01-20 15:05:00+00:00,ABT,Close,111.9749984741
2023-01-20 15:06:00+00:00,ABT,Close,112.0599975586
2023-01-20 15:07:00+00:00,ABT,Close,112.0400009155
2023-01-20 15:08:00+00:00,ABT,Close,112.0999984741
2023-01-20 15:09:00+00:00,ABT,Close,112.1100006104
2023-01-20 15:10:00+00:00,ABT,Close,112.1900024414
2023-01-20 15:11:00+00:00,ABT,Close,112.1200027466
2023-01-20 15:12:00+00:00,ABT,Close,112.2699966431
2023-01-20 15:13:00+00:00,ABT,Close,112.2300033569
