time,symbol,field,value
2023-01-20 14:30:00+00:00,ACN,Close,275.0
2023-01-20 14:31:00+00:00,ACN,Close,274.9899902344
2023-01-20 14:32:00+00:00,ACN,Close,273.0
2023-01-20 14:33:00+00:00,ACN,Close,274.0899963379
2023-01-20 14:34:00+00:00,ACN,Close,273.7049865723
2023-01-20 14:35:00+00:00,ACN,Close,273.5
2023-01-20 14:36:00+00:00,ACN,Close,273.2399902344
2023-01-20 14:37:00+00:00,ACN,Close,273.3599853516
2023-01-20 14:38:00+00:00,ACN,Close,273.9800109863
2023-01-20 14:39:00+00:00,ACN,Close,273.7300109863
2023-01-20 14:40:00+00:00,ACN,Close,273.7349853516
2023-01-20 14:41:00+00:00,ACN,Close,273.9450073242
2023-01-20 14:42:00+00:00,ACN,Close,273.6400146484
2023-01-20 14:43:00+00:00,ACN,Close,274.1799926758
2023-01-20 14:44:00+00:00,ACN,Close,274.1350097656
2023-01-20 14:45:00+00:00,ACN,Close,273.6900024414
2023-01-20 14:46:00+00:00,ACN,Close,273.8399963379
2023-01-20 14:47:00+00:00,ACN,Close,273.9899902344
2023-01-20 14:48:00+00:00,ACN,Close,274.0299987793
2023-01-20 14:49:00+00:00,ACN,Close,273.8500061035
2023-01-20 14:50:00+00:00,ACN,Close,273.9049987793
2023-01-20 14:51:00+00:00,ACN,Close,274.0100097656
2023-01-20 14:52:00+00:00,ACN,Close,274.2399902344
2023-01-20 14:53:00+00:00,ACN,Close,273.9700012207
2023-01-20 14:54:00+00:00,ACN,Close,273.5799865723
2023-01-20 14:55:00+00:00,ACN,Close,273.4460144043
2023-01-20 14:56:00+00:00,ACN,Close,273.3800048828
2023-01-20 14:57:00+00:00,ACN,Close,273.8049926758
2023-01-20 14:58:00+00:00,ACN,Close,273.4800109863
2023-01-20 14:59:00+00:00,ACN,Close,273.4599914551
2023-01-20 15:00:00+00:00,ACN,Close,272.9899902344
2023-01-20 15:01:00+00:00,ACN,Close,273.3099975586
2023-01-20 15:02:00+00:00,ACN,Close,273.8200073242
2023-01-20 15:03:00+00:00,ACN,Close,274.0
2023-01-20 15:04:00+00:00,ACN,Close,273.7600097656
2023-01-20 15:05:00+00:00,ACN,Close,274.3399963379
2023-01-20 15:06:00+00:00,ACN,Close,274.450012207
2023-01-20 15:07:00+00:00,ACN,Close,274.5599975586
2023-01-20 15:08:00+00:00,ACN,Close,274.7600097656
2023-01-20 15:09:00+00:00,ACN,Close,274.7049865723
2023-01-20 15:10:00+00:00,ACN,Close,274.8500061035
2023-01-20 15:11:00+00:00,ACN,Close,274.8399963379
2023-01-20 15:12:00+00:00,ACN,Close,274.8999938965
2023-01-20 15:13:00+00:00,ACN,Close,274.9100036621
2023-01-20 15:14:00+00:00,ACN,Close,274.6400146484
2023-01-20 15:15:00+00:00,ACN,Close,274.6799926758
2023-01-20 15:16:00+00:00,ACN,Close,274.6700134277
2023-01-20 15:17:00+00:00,ACN,Close,274.5398864746
2023-01-20 15:18:00+00:00,ACN,Close,274.4700012207
2023-01-20 15:19:00+00:00,ACN,Close,274.4400024414
2023-01-20 15:20:00+00:00,ACN,Close,274.3099975586
2023-01-20 15:21:00+00:00,ACN,Close,274.5199890137
2023-01-20 15:22:00+00:00,ACN,Close,274.7099914551
2023-01-20 15:23:00+00:00,ACN,Close,274.4899902344
2023-01-20 15:24:00+00:00,ACN,Close,274.4899902344
2023-01-20 15:25:00+00:00,ACN,Close,274.6499938965
2023-01-20 15:26:00+00:00,ACN,Close,274.6350097656
2023-01-20 15:27:00+00:00,ACN,Close,275.2399902344
2023-01-20 15:28:00+00:00,ACN,Close,275.3800048828
2023-01-20 15:29:00+00:00,ACN,Close,275.4100036621
2023-01-20 15:30:00+00:00,ACN,Close,275.6199951172
2023-01-20 15:31:00+00:00,ACN,Close,275.4100036621
2023-01-20 15:32:00+00:00,ACN,Close,275.6000061035
2023-01-20 15:33:00+00:00,ACN,Close,275.5050048828
2023-01-20 15:34:00+00:00,ACN,Close,275.2600097656
2023-01-20 15:35:00+00:00,ACN,Close,275.1000061035
2023-01-20 15:36:00+00:00,ACN,Close,275.2250061035
2023-01-20 15:37:00+00:00,ACN,Close,275.1650085449
2023-01-20 15:38:00+00:00,ACN,Close,275.1950073242
2023-01-20 15:39:00+00:00,ACN,Close,275.3800048828
2023-01-20 15:40:00+00:00,ACN,Close,275.5537109375
2023-01-20 15:41:00+00:00,ACN,Close,275.549987793
2023-01-20 15:42:00+00:00,ACN,Close,275.5199890137
2023-01-20 15:43:00+00:00,ACN,Close,275.4100036621
2023-01-20 15:44:00+00:00,ACN,Close,275.4400024414
2023-01-20 15:45:00+00:00,ACN,Close,275.4800109863
2023-01-20 15:46:00+00:00,ACN,Close,275.3900146484
2023-01-20 15:47:00+00:00,ACN,Close,275.4450073242
2023-01-20 15:48:00+00:00,ACN,Close,275.8299865723
2023-01-20 15:49:00+00:00,ACN,Close,275.9200134277
2023-01-20 15:50:00+00:00,ACN,Close,275.7399902344
2023-01-20 15:51:00+00:00,ACN,Close,275.8500061035
2023-01-20 15:52:00+00:00,ACN,Close,275.8200073242
2023-01-20 15:53:00+00:00,ACN,Close,275.9847106934
2023-01-20 15:54:00+00:00,ACN,Close,275.8599853516
2023-01-20 15:55:00+00:00,ACN,Close,276.0
2023-01-20 15:56:00+00:00,ACN,Close,275.9899902344
2023-01-20 15:58:00+00:00,ACN,Close,275.8099975586
2023-01-20 15:59:00+00:00,ACN,Close,275.5899963379
2023-01-20 16:00:00+00:00,ACN,Close,275.7099914551
2023-01-20 16:01:00+00:00,ACN,Close,275.9140014648
2023-01-20 16:02:00+00:00,ACN,Close,275.9425964355
2023-01-20 16:03:00+00:00,ACN,Close,275.8299865723
2023-01-20 16:04:00+00:00,ACN,Close,275.75
2023-01-20 16:05:00+00:00,ACN,Close,275.75
2023-01-20 16:06:00+00:00,ACN,Close,275.6600036621
2023-01-20 16:07:00+00:00,ACN,Close,275.7699890137
2023-01-20 16:08:00+00:00,ACN,Close,275.6195068359
2023-01-20 16:09:00+00:00,ACN,Close,275.7950134277
2023-01-20 16:10:00+00:00,ACN,Close,275.8999938965
2023-01-20 16:11:00+00:00,ACN,Close,276.0150146484
2023-01-20 16:12:00+00:00,ACN,Close,276.2399902344
2023-01-20 16:13:00+00:00,ACN,Close,276.1149902344
2023-01-20 16:14:00+00:00,ACN,Close,275.9899902344
2023-01-20 16:15:00+00:00,ACN,Close,276.1199951172
2023-01-20 16:16:00+00:00,ACN,Close,276.1300048828
2023-01-20 16:17:00+00:00,ACN,Close,275.9599914551
2023-01-20 16:18:00+00:00,ACN,Close,275.8999938965
2023-01-20 16:19:00+00:00,ACN,Close,276.0
2023-01-20 16:20:00+00:00,ACN,Close,275.8500061035
2023-01-20 16:21:00+00:00,ACN,Close,275.5950012207
2023-01-20 16:22:00+00:00,ACN,Close,275.7900085449
2023-01-20 16:23:00+00:00,ACN,Close,275.7399902344
2023-01-20 16:24:00+00:00,ACN,Close,275.8299865723
2023-01-20 16:25:00+00:00,ACN,Close,276.0100097656
2023-01-20 16:26:00+00:00,ACN,Close,276.1499938965
2023-01-20 16:27:00+00:00,ACN,Close,276.2399902344
2023-01-20 16:28:00+00:00,ACN,Close,276.4400024414
2023-01-20 16:29:00+00:00,ACN,Close,276.5400085449
2023-01-20 16:30:00+00:00,ACN,Close,276.5799865723
2023-01-20 16:31:00+00:00,ACN,Close,276.6900024414
2023-01-20 16:32:00+00:00,ACN,Close,276.950012207
2023-01-20 16:33:00+00:00,ACN,Close,277.0899963379
2023-01-20 16:34:00+00:00,ACN,Close,277.2049865723
2023-01-20 16:35:00+00:00,ACN,Close,276.8200073242
2023-01-20 16:36:00+00:00,ACN,Close,276.6000061035
2023-01-20 16:37:00+00:00,ACN,Close,276.549987793
2023-01-20 16:38:00+00:00,ACN,Close,276.4599914551
2023-01-20 16:39:00+00:00,ACN,Close,276.375
2023-01-20 16:40:00+00:00,ACN,Close,276.4400024414
2023-01-20 16:41:00+00:00,ACN,Close,276.4400024414
2023-01-20 16:42:00+00:00,ACN,Close,276.3900146484
2023-01-20 16:43:00+00:00,ACN,Close,276.4400024414
2023-01-20 16:44:00+00:00,ACN,Close,276.4100036621
2023-01-20 16:45:00+00:00,ACN,Close,276.4299926758
2023-01-20 16:46:00+00:00,ACN,Close,276.6350097656
2023-01-20 16:47:00+00:00,ACN,Close,276.7399902344
2023-01-20 16:48:00+00:00,ACN,Close,276.6700134277
2023-01-20 16:49:00+00:00,ACN,Close,276.549987793
2023-01-20 16:50:00+00:00,ACN,Close,276.5249938965
2023-01-20 16:51:00+00:00,ACN,Close,276.5899963379
2023-01-20 16:52:00+00:00,ACN,Close,276.5450134277
2023-01-20 16:53:00+00:00,ACN,Close,276.6149902344
2023-01-20 16:54:00+00:00,ACN,Close,276.5799865723
2023-01-20 16:55:00+00:00,ACN,Close,276.450012207
2023-01-20 16:56:00+00:00,ACN,Close,276.5249938965
2023-01-20 16:57:00+00:00,ACN,Close,276.424987793
2023-01-20 16:58:00+00:00,ACN,Close,276.3999938965
2023-01-20 16:59:00+00:00,ACN,Close,276.4200134277
2023-01-20 17:00:00+00:00,ACN,Close,276.3900146484
2023-01-20 17:01:00+00:00,ACN,Close,276.2900085449
2023-01-20 17:02:00+00:00,ACN,Close,276.3099975586
2023-01-20 17:03:00+00:00,ACN,Close,276.25
2023-01-20 17:04:00+00:00,ACN,Close,276.2600097656
2023-01-20 17:05:00+00:00,ACN,Close,276.3150024414
2023-01-20 17:06:00+00:00,ACN,Close,276.25
2023-01-20 17:07:00+00:00,ACN,Close,276.2099914551
2023-01-20 17:08:00+00:00,ACN,Close,276.4400024414
2023-01-20 17:09:00+00:00,ACN,Close,276.3399963379
2023-01-20 17:10:00+00:00,ACN,Close,276.2399902344
2023-01-20 17:11:00+00:00,ACN,Close,276.1300964355
2023-01-20 17:12:00+00:00,ACN,Close,276.2799987793
2023-01-20 17:13:00+00:00,ACN,Close,276.2950134277
2023-01-20 17:14:00+00:00,ACN,Close,276.2099914551
