time,symbol,field,value
2023-01-20 14:30:00+00:00,AOS,Close,58.8899993896
2023-01-20 14:31:00+00:00,AOS,Close,58.3941001892
2023-01-20 14:32:00+00:00,AOS,Close,58.2000007629
2023-01-20 14:33:00+00:00,AOS,Close,58.1500015259
2023-01-20 14:34:00+00:00,AOS,Close,58.1450004578
2023-01-20 14:35:00+00:00,AOS,Close,58.1500015259
2023-01-20 14:36:00+00:00,AOS,Close,58.0950012207
2023-01-20 14:39:00+00:00,AOS,Close,58.0200004578
2023-01-20 14:40:00+00:00,AOS,Close,58.0649986267
2023-01-20 14:41:00+00:00,AOS,Close,58.0099983215
2023-01-20 14:42:00+00:00,AOS,Close,57.8800010681
2023-01-20 14:43:00+00:00,AOS,Close,57.9749984741
2023-01-20 14:44:00+00:00,AOS,Close,57.8600006104
2023-01-20 14:45:00+00:00,AOS,Close,57.7999992371
2023-01-20 14:46:00+00:00,AOS,Close,57.7000007629
2023-01-20 14:47:00+00:00,AOS,Close,57.5699996948
2023-01-20 14:48:00+00:00,AOS,Close,57.6049995422
2023-01-20 14:49:00+00:00,AOS,Close,57.6399993896
2023-01-20 14:51:00+00:00,AOS,Close,57.7099990845
2023-01-20 14:52:00+00:00,AOS,Close,57.6549987793
2023-01-20 14:53:00+00:00,AOS,Close,57.5999984741
2023-01-20 14:54:00+00:00,AOS,Close,57.4599990845
2023-01-20 14:55:00+00:00,AOS,Close,57.5299987793
2023-01-20 14:56:00+00:00,AOS,Close,57.5600013733
2023-01-20 14:57:00+00:00,AOS,Close,57.6100006104
2023-01-20 14:58:00+00:00,AOS,Close,57.5499992371
2023-01-20 14:59:00+00:00,AOS,Close,57.5699996948
2023-01-20 15:00:00+00:00,AOS,Close,57.6650009155
2023-01-20 15:01:00+00:00,AOS,Close,57.7449989319
2023-01-20 15:02:00+00:00,AOS,Close,57.8699989319
2023-01-20 15:04:00+00:00,AOS,Close,57.8899993896
2023-01-20 15:05:00+00:00,AOS,Close,57.9350013733
2023-01-20 15:07:00+00:00,AOS,Close,58.1399993896
2023-01-20 15:08:00+00:00,AOS,Close,58.3100013733
2023-01-20 15:10:00+00:00,AOS,Close,58.2900009155
2023-01-20 15:11:00+00:00,AOS,Close,58.2750015259
2023-01-20 15:12:00+00:00,AOS,Close,58.3100013733
2023-01-20 15:13:00+00:00,AOS,Close,58.3800010681
2023-01-20 15:14:00+00:00,AOS,Close,58.3600006104
2023-01-20 15:15:00+00:00,AOS,Close,58.2900009155
2023-01-20 15:16:00+00:00,AOS,Close,58.2799987793
2023-01-20 15:17:00+00:00,AOS,Close,58.2599983215
2023-01-20 15:18:00+00:00,AOS,Close,58.25
2023-01-20 15:19:00+00:00,AOS,Close,58.2599983215
2023-01-20 15:20:00+00:00,AOS,Close,58.25
2023-01-20 15:21:00+00:00,AOS,Close,58.3300018311
2023-01-20 15:22:00+00:00,AOS,Close,58.4000015259
2023-01-20 15:23:00+00:00,AOS,Close,58.4099998474
2023-01-20 15:24:00+00:00,AOS,Close,58.4599990845
2023-01-20 15:25:00+00:00,AOS,Close,58.4700012207
2023-01-20 15:26:00+00:00,AOS,Close,58.4990005493
2023-01-20 15:27:00+00:00,AOS,Close,58.5099983215
2023-01-20 15:28:00+00:00,AOS,Close,58.5699996948
2023-01-20 15:30:00+00:00,AOS,Close,58.5600013733
