time,symbol,field,value
2023-01-20 14:30:00+00:00,MMM,Close,118.4300003052
2023-01-20 14:31:00+00:00,MMM,Close,118.3600006104
2023-01-20 14:32:00+00:00,MMM,Close,117.8109970093
2023-01-20 14:33:00+00:00,MMM,Close,117.675201416
2023-01-20 14:34:00+00:00,MMM,Close,117.4100036621
2023-01-20 14:35:00+00:00,MMM,Close,117.4499969482
2023-01-20 14:36:00+00:00,MMM,Close,117.5100021362
2023-01-20 14:37:00+00:00,MMM,Close,117.6200027466
2023-01-20 14:38:00+00:00,MMM,Close,117.3300018311
2023-01-20 14:39:00+00:00,MMM,Close,117.2600021362
2023-01-20 14:40:00+00:00,MMM,Close,117.0299987793
2023-01-20 14:41:00+00:00,MMM,Close,117.1500015259
2023-01-20 14:42:00+00:00,MMM,Close,117.0599975586
2023-01-20 14:43:00+00:00,MMM,Close,117.0800018311
2023-01-20 14:44:00+00:00,MMM,Close,117.0413970947
2023-01-20 14:45:00+00:00,MMM,Close,117.0199966431
2023-01-20 14:46:00+00:00,MMM,Close,117.0201034546
2023-01-20 14:47:00+00:00,MMM,Close,117.0849990845
2023-01-20 14:48:00+00:00,MMM,Close,117.2200012207
2023-01-20 14:49:00+00:00,MMM,Close,117.0199966431
2023-01-20 14:50:00+00:00,MMM,Close,117.1149978638
2023-01-20 14:51:00+00:00,MMM,Close,117.0
2023-01-20 14:52:00+00:00,MMM,Close,117.0899963379
2023-01-20 14:53:00+00:00,MMM,Close,117.0199966431
2023-01-20 14:54:00+00:00,MMM,Close,116.9700012207
2023-01-20 14:55:00+00:00,MMM,Close,117.0500030518
2023-01-20 14:56:00+00:00,MMM,Close,116.9950027466
2023-01-20 14:57:00+00:00,MMM,Close,117.0250015259
2023-01-20 14:58:00+00:00,MMM,Close,116.9800033569
2023-01-20 14:59:00+00:00,MMM,Close,116.8000030518
2023-01-20 15:00:00+00:00,MMM,Close,116.8150024414
2023-01-20 15:01:00+00:00,MMM,Close,116.8050003052
2023-01-20 15:02:00+00:00,MMM,Close,116.9899978638
2023-01-20 15:03:00+00:00,MMM,Close,116.8799972534
2023-01-20 15:04:00+00:00,MMM,Close,116.8300018311
2023-01-20 15:05:00+00:00,MMM,Close,116.9800033569
2023-01-20 15:06:00+00:00,MMM,Close,117.0100021362
2023-01-20 15:07:00+00:00,MMM,Close,117.0650024414
2023-01-20 15:08:00+00:00,MMM,Close,117.1500015259
2023-01-20 15:09:00+00:00,MMM,Close,117.1299972534
2023-01-20 15:10:00+00:00,MMM,Close,117.0800018311
2023-01-20 15:11:00+00:00,MMM,Close,117.1399993896
2023-01-20 15:12:00+00:00,MMM,Close,117.1600036621
2023-01-20 15:13:00+00:00,MMM,Close,117.1600036621
2023-01-20 15:14:00+00:00,MMM,Close,117.0599975586
2023-01-20 15:15:00+00:00,MMM,Close,117.0650024414
2023-01-20 15:16:00+00:00,MMM,Close,117.0800018311
2023-01-20 15:17:00+00:00,MMM,Close,117.0299987793
2023-01-20 15:18:00+00:00,MMM,Close,116.9899978638
2023-01-20 15:19:00+00:00,MMM,Close,116.9199981689
2023-01-20 15:20:00+00:00,MMM,Close,117.0299987793
2023-01-20 15:21:00+00:00,MMM,Close,117.1999969482
2023-01-20 15:22:00+00:00,MMM,Close,117.1650009155
2023-01-20 15:23:00+00:00,MMM,Close,117.2900009155
2023-01-20 15:24:00+00:00,MMM,Close,117.2529983521
2023-01-20 15:25:00+00:00,MMM,Close,117.3899993896
2023-01-20 15:26:00+00:00,MMM,Close,117.4499969482
2023-01-20 15:27:00+00:00,MMM,Close,117.4700012207
2023-01-20 15:28:00+00:00,MMM,Close,117.5049972534
2023-01-20 15:29:00+00:00,MMM,Close,117.4800033569
2023-01-20 15:30:00+00:00,MMM,Close,117.5299987793
2023-01-20 15:31:00+00:00,MMM,Close,117.506401062
2023-01-20 15:32:00+00:00,MMM,Close,117.5100021362
2023-01-20 15:33:00+00:00,MMM,Close,117.4599990845
2023-01-20 15:34:00+00:00,MMM,Close,117.5
2023-01-20 15:35:00+00:00,MMM,Close,117.5
2023-01-20 15:36:00+00:00,MMM,Close,117.5800018311
2023-01-20 15:37:00+00:00,MMM,Close,117.5999984741
2023-01-20 15:38:00+00:00,MMM,Close,117.4499969482
2023-01-20 15:39:00+00:00,MMM,Close,117.4400024414
2023-01-20 15:40:00+00:00,MMM,Close,117.4700012207
2023-01-20 15:41:00+00:00,MMM,Close,117.4499969482
2023-01-20 15:42:00+00:00,MMM,Close,117.6100006104
2023-01-20 15:43:00+00:00,MMM,Close,117.5299987793
2023-01-20 15:44:00+00:00,MMM,Close,117.5400009155
2023-01-20 15:45:00+00:00,MMM,Close,117.617401123
2023-01-20 15:46:00+00:00,MMM,Close,117.5100021362
2023-01-20 15:47:00+00:00,MMM,Close,117.5500030518
2023-01-20 15:48:00+00:00,MMM,Close,117.5049972534
2023-01-20 15:49:00+00:00,MMM,Close,117.5199966431
2023-01-20 15:50:00+00:00,MMM,Close,117.4199981689
2023-01-20 15:51:00+00:00,MMM,Close,117.4000015259
2023-01-20 15:52:00+00:00,MMM,Close,117.4499969482
2023-01-20 15:53:00+00:00,MMM,Close,117.5299987793
2023-01-20 15:54:00+00:00,MMM,Close,117.5699996948
2023-01-20 15:55:00+00:00,MMM,Close,117.5999984741
2023-01-20 15:56:00+00:00,MMM,Close,117.5500030518
2023-01-20 15:57:00+00:00,MMM,Close,117.6699981689
2023-01-20 15:58:00+00:00,MMM,Close,117.6750030518
2023-01-20 15:59:00+00:00,MMM,Close,117.6900024414
2023-01-20 16:00:00+00:00,MMM,Close,117.7350006104
2023-01-20 16:01:00+00:00,MMM,Close,117.7399978638
2023-01-20 16:02:00+00:00,MMM,Close,117.7900009155
2023-01-20 16:03:00+00:00,MMM,Close,117.8450012207
2023-01-20 16:04:00+00:00,MMM,Close,117.9199981689
2023-01-20 16:05:00+00:00,MMM,Close,117.9169998169
2023-01-20 16:06:00+00:00,MMM,Close,117.9000015259
2023-01-20 16:07:00+00:00,MMM,Close,118.0100021362
2023-01-20 16:08:00+00:00,MMM,Close,118.0
2023-01-20 16:09:00+00:00,MMM,Close,118.0400009155
2023-01-20 16:10:00+00:00,MMM,Close,118.0199966431
2023-01-20 16:11:00+00:00,MMM,Close,118.0800018311
2023-01-20 16:12:00+00:00,MMM,Close,118.1999969482
2023-01-20 16:13:00+00:00,MMM,Close,118.0899963379
2023-01-20 16:14:00+00:00,MMM,Close,117.9599990845
2023-01-20 16:15:00+00:00,MMM,Close,118.0599975586
2023-01-20 16:16:00+00:00,MMM,Close,118.1600036621
2023-01-20 16:17:00+00:00,MMM,Close,118.2600021362
2023-01-20 16:18:00+00:00,MMM,Close,118.3649978638
2023-01-20 16:19:00+00:00,MMM,Close,118.3799972534
2023-01-20 16:20:00+00:00,MMM,Close,118.3450012207
2023-01-20 16:21:00+00:00,MMM,Close,118.3000030518
2023-01-20 16:22:00+00:00,MMM,Close,118.3199996948
2023-01-20 16:23:00+00:00,MMM,Close,118.4800033569
2023-01-20 16:24:00+00:00,MMM,Close,118.5350036621
2023-01-20 16:25:00+00:00,MMM,Close,118.4140014648
2023-01-20 16:26:00+00:00,MMM,Close,118.4199981689
2023-01-20 16:27:00+00:00,MMM,Close,118.4216995239
2023-01-20 16:28:00+00:00,MMM,Close,118.4199981689
2023-01-20 16:29:00+00:00,MMM,Close,118.4700012207
2023-01-20 16:30:00+00:00,MMM,Close,118.4499969482
2023-01-20 16:31:00+00:00,MMM,Close,118.5500030518
2023-01-20 16:32:00+00:00,MMM,Close,118.5849990845
2023-01-20 16:33:00+00:00,MMM,Close,118.6000976562
2023-01-20 16:34:00+00:00,MMM,Close,118.7799987793
2023-01-20 16:35:00+00:00,MMM,Close,118.7798995972
2023-01-20 16:36:00+00:00,MMM,Close,118.5800018311
2023-01-20 16:37:00+00:00,MMM,Close,118.5899963379
2023-01-20 16:38:00+00:00,MMM,Close,118.5
2023-01-20 16:39:00+00:00,MMM,Close,118.3153991699
2023-01-20 16:40:00+00:00,MMM,Close,118.2927017212
2023-01-20 16:41:00+00:00,MMM,Close,118.4199981689
2023-01-20 16:42:00+00:00,MMM,Close,118.4150009155
2023-01-20 16:43:00+00:00,MMM,Close,118.4777984619
2023-01-20 16:44:00+00:00,MMM,Close,118.4899978638
2023-01-20 16:45:00+00:00,MMM,Close,118.4700012207
2023-01-20 16:46:00+00:00,MMM,Close,118.5100021362
2023-01-20 16:47:00+00:00,MMM,Close,118.5449981689
2023-01-20 16:48:00+00:00,MMM,Close,118.3367996216
2023-01-20 16:49:00+00:00,MMM,Close,118.3799972534
2023-01-20 16:50:00+00:00,MMM,Close,118.3199996948
2023-01-20 16:51:00+00:00,MMM,Close,118.4150009155
2023-01-20 16:52:00+00:00,MMM,Close,118.4599990845
2023-01-20 16:53:00+00:00,MMM,Close,118.4599990845
2023-01-20 16:54:00+00:00,MMM,Close,118.3850021362
2023-01-20 16:55:00+00:00,MMM,Close,118.3899993896
2023-01-20 16:56:00+00:00,MMM,Close,118.3700027466
2023-01-20 16:57:00+00:00,MMM,Close,118.3600006104
2023-01-20 16:58:00+00:00,MMM,Close,118.1802978516
2023-01-20 16:59:00+00:00,MMM,Close,118.2699966431
2023-01-20 17:00:00+00:00,MMM,Close,118.3280029297
2023-01-20 17:01:00+00:00,MMM,Close,118.2900009155
2023-01-20 17:02:00+00:00,MMM,Close,118.3033981323
2023-01-20 17:03:00+00:00,MMM,Close,118.3799972534
2023-01-20 17:04:00+00:00,MMM,Close,118.3099975586
2023-01-20 17:05:00+00:00,MMM,Close,118.3600006104
2023-01-20 17:06:00+00:00,MMM,Close,118.3509979248
2023-01-20 17:07:00+00:00,MMM,Close,118.3700027466
2023-01-20 17:08:00+00:00,MMM,Close,118.4100036621
2023-01-20 17:09:00+00:00,MMM,Close,118.3899993896
2023-01-20 17:10:00+00:00,MMM,Close,118.4199981689
2023-01-20 17:11:00+00:00,MMM,Close,118.4700012207
2023-01-20 17:12:00+00:00,MMM,Close,118.5
2023-01-20 17:13:00+00:00,MMM,Close,118.5500030518
2023-01-20 17:14:00+00:00,MMM,Close,118.5599975586
2023-01-20 17:15:00+00:00,MMM,Close,118.4599990845
2023-01-20 17:16:00+00:00,MMM,Close,118.5199966431
2023-01-20 17:17:00+00:00,MMM,Close,118.5400009155
2023-01-20 17:18:00+00:00,MMM,Close,118.4850006104
2023-01-20 17:19:00+00:00,MMM,Close,118.4800033569
2023-01-20 17:20:00+00:00,MMM,Close,118.5100021362
2023-01-20 17:21:00+00:00,MMM,Close,118.5400009155
2023-01-20 17:22:00+00:00,MMM,Close,118.4850006104
2023-01-20 17:23:00+00:00,MMM,Close,118.4400024414
2023-01-20 17:24:00+00:00,MMM,Close,118.5101013184
2023-01-20 17:25:00+00:00,MMM,Close,118.6430969238
2023-01-20 17:26:00+00:00,MMM,Close,118.625
2023-01-20 17:27:00+00:00,MMM,Close,118.6449966431
2023-01-20 17:28:00+00:00,MMM,Close,118.6100006104
2023-01-20 17:29:00+00:00,MMM,Close,118.6299972534
2023-01-20 17:30:00+00:00,MMM,Close,118.6699981689
2023-01-20 17:31:00+00:00,MMM,Close,118.6900024414
2023-01-20 17:32:00+00:00,MMM,Close,118.5599975586
2023-01-20 17:33:00+00:00,MMM,Close,118.6500015259
2023-01-20 17:34:00+00:00,MMM,Close,118.7200012207
2023-01-20 17:35:00+00:00,MMM,Close,118.7149963379
2023-01-20 17:36:00+00:00,MMM,Close,118.7600021362
2023-01-20 17:37:00+00:00,MMM,Close,118.7699966431
